ITS_ID	Plant	Plant_Genus	Plant_sci	Plant_species	Location	Symptom_condition	Neighbor	LSU_code	Longitude	Latitude	MycoID
SD145	Argentine_Bahiagrass	Paspalum	Paspalum_notatum_4x	Paspalum_notatum	Kenansville	No_Symptom	wSym	SA_057	-81.0528	27.879	m16
SD146	Giant_smutgrass	Sporobolus	Sporobolus_indicus_var_pyramidalis	Sporobolus_indicus	Kenansville	No_Symptom	wSym	SA_058	-81.0528	27.879	m17
SD147	Giant_smutgrass	Sporobolus	Sporobolus_indicus_var_pyramidalis	Sporobolus_indicus	Kenansville	No_Symptom	wSym	SA_059	-81.0528	27.879	m17
SD148	Giant_smutgrass	Sporobolus	Sporobolus_indicus_var_pyramidalis	Sporobolus_indicus	Kenansville	No_Symptom	wSym	SA_060	-81.0528	27.879	m17
SD149	Broomsedge	Andropogon	Andropogon_virginicus	Andropogon_virginicus	Kenansville	No_Symptom	wSym	SA_061	-81.0528	27.879	m18
SD150	Broomsedge	Andropogon	Andropogon_virginicus	Andropogon_virginicus	Kenansville	No_Symptom	wSym	SA_062	-81.0528	27.879	m18
SD151	Broomsedge	Andropogon	Andropogon_virginicus	Andropogon_virginicus	Kenansville	No_Symptom	wSym	SA_063	-81.0528	27.879	m18
SD152	Common_bermudagrass	Cynodon	Cynodon_dactylon	Cynodon_dactylon	Kenansville	No_Symptom	wSym	SA_064	-81.0528	27.879	m20
SD153	Common_bermudagrass	Cynodon	Cynodon_dactylon	Cynodon_dactylon	Kenansville	No_Symptom	wSym	SA_065	-81.0528	27.879	m20
SD154	Common_bermudagrass	Cynodon	Cynodon_dactylon	Cynodon_dactylon	Kenansville	No_Symptom	wSym	SA_066	-81.0528	27.879	m20
SD155	Argentine_Bahiagrass	Paspalum	Paspalum_notatum_4x	Paspalum_notatum	Wauchula	Symptom	Symptom	SA_067	-81.8224	27.4989	m10
SD156	Argentine_Bahiagrass	Paspalum	Paspalum_notatum_4x	Paspalum_notatum	Wauchula	Symptom	Symptom	SA_068	-81.8224	27.4989	m10
SD157	Argentine_Bahiagrass	Paspalum	Paspalum_notatum_4x	Paspalum_notatum	Wauchula	Symptom	Symptom	SA_069	-81.8224	27.4989	m10
SD158	Small_smutgrass	Sporobolus	Sporobolus_indicus	Sporobolus_indicus	Wauchula	Symptom	Symptom	SA_070	-81.8224	27.4989	m9
SD159	Small_smutgrass	Sporobolus	Sporobolus_indicus	Sporobolus_indicus	Wauchula	Symptom	Symptom	SA_071	-81.8224	27.4989	m9
SD160	Pensacola_Bahiagrass	Paspalum	Paspalum_notatum_2x	Paspalum_notatum	Kenansville	No_Symptom	wSym	SA_072	-81.0528	27.879	m21
SD161	Pensacola_Bahiagrass	Paspalum	Paspalum_notatum_2x	Paspalum_notatum	Kenansville	No_Symptom	wSym	SA_073	-81.0528	27.879	m21
SD162	Pensacola_Bahiagrass	Paspalum	Paspalum_notatum_2x	Paspalum_notatum	Kenansville	No_Symptom	wSym	SA_074	-81.0528	27.879	m21
SD163	Argentine_Bahiagrass	Paspalum	Paspalum_notatum_4x	Paspalum_notatum	Kenansville	Symptom	Symptom	SA_075	-81.0528	27.879	No
SD164	Argentine_Bahiagrass	Paspalum	Paspalum_notatum_4x	Paspalum_notatum	Kenansville	Symptom	Symptom	SA_076	-81.0528	27.879	No
SD165	Argentine_Bahiagrass	Paspalum	Paspalum_notatum_4x	Paspalum_notatum	Kenansville	Symptom	Symptom	SA_077	-81.0528	27.879	No
SD166	Pensacola_Bahiagrass	Paspalum	Paspalum_notatum_2x	Paspalum_notatum	St_Cloud	No_Symptom	wSym	SA_078	-80.887	27.9864	m22
SD167	Pensacola_Bahiagrass	Paspalum	Paspalum_notatum_2x	Paspalum_notatum	St_Cloud	No_Symptom	wSym	SA_079	-80.887	27.9864	m22
SD168	Pensacola_Bahiagrass	Paspalum	Paspalum_notatum_2x	Paspalum_notatum	St_Cloud	No_Symptom	wSym	SA_080	-80.887	27.9864	m22
SD169	Pensacola_Bahiagrass	Paspalum	Paspalum_notatum_2x	Paspalum_notatum	St_Cloud	Symptom	Symptom	SA_081	-80.887	27.9864	m22
SD170	Pensacola_Bahiagrass	Paspalum	Paspalum_notatum_2x	Paspalum_notatum	St_Cloud	Symptom	Symptom	SA_082	-80.887	27.9864	m22
SD171	Giant_smutgrass	Sporobolus	Sporobolus_indicus_var_pyramidalis	Sporobolus_indicus	St_Cloud	No_Symptom	wSym	SA_083	-80.887	27.9864	m23
SD172	Giant_smutgrass	Sporobolus	Sporobolus_indicus_var_pyramidalis	Sporobolus_indicus	St_Cloud	No_Symptom	wSym	SA_084	-80.887	27.9864	m23
SD173	Giant_smutgrass	Sporobolus	Sporobolus_indicus_var_pyramidalis	Sporobolus_indicus	St_Cloud	No_Symptom	wSym	SA_085	-80.887	27.9864	m23
SD174	Giant_smutgrass	Sporobolus	Sporobolus_indicus_var_pyramidalis	Sporobolus_indicus	St_Cloud	Symptom	Symptom	SA_086	-80.887	27.9864	m23
